zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,78,0.25,-9.0,114.5,0.5111282015297172,0.045454545454545456
573-A,1,78,0.25,-9.0,115.0,0.5200205959414784,0.06818181818181818
573-A,1,78,0.25,-9.0,115.5,0.5822186177201719,0.045454545454545456
573-A,1,78,0.25,-9.0,117.0,0.382318141446618,0.06976744186046512
573-A,1,78,0.25,-9.0,117.5,0.3981268191909412,0.045454545454545456
573-A,1,78,0.25,-9.0,118.0,0.3864624060055608,0.045454545454545456
573-A,1,78,0.25,-9.0,118.5,0.40882512033432783,0.04878048780487805
573-A,1,78,0.25,-9.0,119.0,0.35772157522351244,0.09302325581395349
573-A,1,79,0.25,-7.0,106.0,0.3127899589255637,0.11363636363636363
573-A,1,79,0.25,-7.5,106.0,0.3511605456453304,0.10869565217391304
573-A,1,79,0.25,-7.5,106.5,0.5047065771868205,0.06666666666666667
573-A,1,79,0.25,-7.5,107.0,0.47545451920728454,0.0
573-A,1,79,0.25,-7.5,107.5,0.47820288112174403,0.02127659574468085
573-A,1,79,0.25,-8.0,107.5,0.5579981695659066,0.0425531914893617
573-A,1,79,0.25,-8.0,108.0,0.6036449046910719,0.022727272727272728
573-A,1,79,0.25,-8.0,108.5,0.6133712186184799,0.020833333333333332
573-A,1,79,0.25,-8.0,109.0,0.6251045666656587,0.023809523809523808
573-A,1,79,0.25,-8.0,109.5,0.6485317763137937,0.021739130434782608
573-A,1,79,0.25,-8.5,109.5,0.6097554440617984,0.022222222222222223
573-A,1,79,0.25,-8.5,110.0,0.6230942075607806,0.045454545454545456
573-A,1,79,0.25,-8.5,110.5,0.6417610715435313,0.022222222222222223
573-A,1,79,0.25,-8.5,111.0,0.6468170961472844,0.023255813953488372
573-A,1,79,0.25,-8.5,111.5,0.6626220633470711,0.0
573-A,1,79,0.25,-8.5,112.0,0.6714675624606341,0.0
573-A,1,79,0.25,-8.5,112.5,0.6571536978721071,0.0
573-A,1,79,0.25,-8.5,113.0,0.6447522444323198,0.0425531914893617
573-A,1,79,0.25,-8.5,113.5,0.6380164547649274,0.045454545454545456
