zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-A,1,2017,8,227,6070,31,1,14,-0.734304,-0.67882,0.078406,0.996922,Timur,2.2909
573-A,1,2017,9,258,6101,30,2,3,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,2.2909
573-A,1,2017,10,288,6131,31,1,2,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,2.2909
573-A,1,2017,11,319,6162,30,1,1,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
573-A,1,2017,12,349,6192,31,1,2,0.956294,-0.292406,0.828997,-0.559252,Barat,2.2909
573-A,1,2018,1,15,6223,31,2,8,0.972156,0.234334,0.890175,0.455618,Barat,2.2909
573-A,1,2018,2,46,6254,28,0,0,0.718044,0.695998,0.031174,0.999514,Barat,2.2909
573-A,1,2018,3,74,6282,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,2.2909
573-A,1,2018,4,105,6313,30,2,2,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,2.2909
573-A,1,2018,5,135,6343,31,2,5,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,2.2909
573-A,1,2018,6,166,6374,30,1,2,-0.953095,0.30267,0.816781,-0.576948,Timur,2.2909
573-A,1,2018,7,196,6404,31,2,19,-0.978326,-0.20707,0.914244,0.405165,Timur,2.2909
573-A,1,2018,8,227,6435,31,5,11,-0.737217,-0.675656,0.086977,0.99621,Timur,2.2909
573-A,1,2018,9,258,6466,30,2,10,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,2.2909
573-A,1,2018,10,288,6496,31,0,0,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,2.2909
573-A,1,2018,11,319,6527,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,2.2909
573-A,1,2018,12,349,6557,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,2.2909
573-A,1,2019,1,15,6588,31,2,3,0.973155,0.230151,0.894061,0.447945,Barat,2.2909
573-A,1,2019,2,46,6619,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,2.2909
573-A,1,2019,3,74,6647,31,1,4,0.318001,0.94809,-0.79775,0.602988,Peralihan I,2.2909
573-A,1,2019,4,105,6678,30,1,7,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,2.2909
573-A,1,2019,5,135,6708,31,1,2,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,2.2909
573-A,1,2019,6,166,6739,30,3,10,-0.951785,0.306767,0.811789,-0.583951,Timur,2.2909
573-A,1,2019,7,196,6769,31,4,12,-0.979208,-0.202861,0.917695,0.397286,Timur,2.2909
573-A,1,2019,8,227,6800,31,3,11,-0.740116,-0.67248,0.095543,0.995425,Timur,2.2909
573-A,1,2019,9,258,6831,30,4,8,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,2.2909
573-A,1,2019,10,288,6861,31,2,8,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,2.2909
573-A,1,2019,11,319,6892,30,0,0,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,2.2909
573-A,1,2019,12,349,6922,31,0,0,0.953744,-0.30062,0.819255,-0.57343,Barat,2.2909
573-A,1,2020,1,15,6953,31,0,0,0.974136,0.225964,0.897881,0.440238,Barat,2.2909
573-A,1,2020,2,46,6984,29,0,0,0.724004,0.689796,0.048363,0.99883,Barat,2.2909
573-A,1,2020,3,75,7013,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,2.2909
573-A,1,2020,4,106,7044,30,1,2,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,2.2909
573-A,1,2020,5,136,7074,31,3,8,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,2.2909
573-A,1,2020,6,167,7105,30,3,9,-0.955663,0.294462,0.826585,-0.562812,Timur,2.2909
573-A,1,2020,7,197,7135,31,2,16,-0.976509,-0.215477,0.907139,0.420831,Timur,2.2909
573-A,1,2020,8,228,7166,31,3,7,-0.731378,-0.681972,0.069828,0.997559,Timur,2.2909
573-A,1,2020,9,259,7197,30,1,13,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,2.2909
573-A,1,2020,10,289,7227,31,3,9,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,2.2909
573-A,1,2020,11,320,7258,30,1,2,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,2.2909
573-A,1,2020,12,350,7288,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,2.2909
573-A,1,2021,1,15,7319,31,1,1,0.971139,0.238513,0.886224,0.463258,Barat,2.2909
573-A,1,2021,2,46,7350,28,1,3,0.715044,0.699079,0.022576,0.999745,Barat,2.2909
573-A,1,2021,3,74,7378,31,0,0,0.309835,0.95079,-0.808005,0.589176,Peralihan I,2.2909
573-A,1,2021,4,105,7409,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,2.2909
573-A,1,2021,5,135,7439,31,2,3,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,2.2909
573-A,1,2021,6,166,7470,30,1,3,-0.954388,0.298569,0.821713,-0.569901,Timur,2.2909
573-A,1,2021,7,196,7500,31,2,10,-0.977426,-0.211276,0.910725,0.413013,Timur,2.2909
573-A,1,2021,8,227,7531,31,3,12,-0.734304,-0.67882,0.078406,0.996922,Timur,2.2909
573-A,1,2021,9,258,7562,30,3,10,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,2.2909
573-A,1,2021,10,288,7592,31,0,0,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,2.2909
573-A,1,2021,11,319,7623,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
