lat,lon,zona,korelasi_thd_indeks
-13.5000,122.5000,4,0.7634
-13.5000,123.0000,5,0.7813
-13.5000,123.5000,5,0.8102
-13.5000,124.0000,5,0.8407
-13.5000,124.5000,5,0.8719
-13.5000,125.0000,5,0.9012
-13.5000,125.5000,5,0.9266
-13.5000,126.0000,5,0.9574
-13.5000,126.5000,5,0.9659
-13.5000,127.0000,5,0.9592
-13.5000,127.5000,5,0.9639
-13.5000,128.0000,5,0.9654
-14.0000,104.0000,1,0.7297
-14.0000,104.5000,1,0.7399
-14.0000,105.0000,1,0.7493
-14.0000,105.5000,1,0.7590
-14.0000,106.0000,1,0.7692
-14.0000,106.5000,1,0.7793
-14.0000,107.0000,1,0.7898
-14.0000,107.5000,1,0.7987
-14.0000,108.0000,1,0.8066
-14.0000,108.5000,1,0.8143
-14.0000,109.0000,1,0.8217
-14.0000,109.5000,1,0.8289
-14.0000,110.0000,1,0.8374
-14.0000,110.5000,1,0.8448
-14.0000,111.0000,1,0.8510
-14.0000,111.5000,1,0.8553
-14.0000,112.0000,1,0.8566
-14.0000,112.5000,1,0.8560
-14.0000,113.0000,1,0.8563
-14.0000,113.5000,1,0.8557
-14.0000,114.0000,1,0.8532
-14.0000,114.5000,1,0.8508
-14.0000,115.0000,1,0.8474
-14.0000,115.5000,1,0.8448
-14.0000,116.0000,1,0.8410
-14.0000,116.5000,1,0.8345
-14.0000,117.0000,1,0.8245
-14.0000,117.5000,1,0.8103
-14.0000,118.0000,4,0.8120
-14.0000,118.5000,4,0.8211
-14.0000,119.0000,4,0.8270
-14.0000,119.5000,4,0.8294
-14.0000,120.0000,4,0.8300
-14.0000,120.5000,4,0.8253
-14.0000,121.0000,4,0.8158
-14.0000,121.5000,4,0.7955
-14.0000,122.0000,4,0.7451
-14.0000,122.5000,4,0.7382
-14.0000,123.0000,5,0.7557
-14.0000,123.5000,5,0.7974
-14.0000,124.0000,5,0.8307
-14.0000,124.5000,5,0.8629
-14.0000,125.0000,5,0.8939
-14.0000,125.5000,5,0.9337
-14.0000,126.0000,5,0.9394
