zona,tier,musim,cacah,phi_dipakai,lambda_musim,massa,E_W,sd_W,E_W_data,sd_W_data,f,E_payout,p_bayar,W_q99,dijual,premi_musim
573-F,1,Barat,Binomial,0.5856777493606139,1.952461892686114,1.0000000000000004,7.401776757160544,5.110225443011399,7.416666666666667,4.652410938022552,3,4.800820903938513,0.7448347801982593,21,True,1089786.3451940424
573-F,1,Peralihan I,Poisson,1.0,2.8265203585082816,0.9999999999999998,10.715329590614997,7.3258127775737165,10.08,4.812483766206387,5,6.181762831571844,0.737974176938183,32,True,1403260.1627668086
573-F,1,Peralihan I,Binomial,0.6068075117370892,2.8265203585082816,1.0000000000000004,10.715329590615001,6.104499999753429,10.08,4.812483766206387,6,5.326001279190576,0.7407864206770964,27,True,1209002.2903762609
573-F,1,Timur,Poisson,1.0,6.881297067101383,1.0000000000000002,26.08697505502422,11.430491627502757,27.44,6.570641774844625,18,8.373668757996182,0.7290156273354845,57,True,1900822.8080651332
573-F,1,Timur,Binomial,0.2218992248062016,6.881297067101383,1.0000000000000002,26.08697505502422,7.419006987283376,27.44,6.570641774844625,21,6.0674487567150015,0.7235205779338862,44,True,1377310.8677743054
573-F,1,Peralihan II,Poisson,1.0,0.7479642782243094,0.9999999999999999,2.8355301737185243,3.768514450937903,2.24,2.7123175821917807,0,2.83153479759331,0.5266708609349184,15,True,642758.3990536814
573-F,1,Peralihan II,Binomial,0.6354166666666667,0.7479642782243094,1.0,2.8355301737185235,3.1908596778758076,2.24,2.7123175821917807,0,2.8355301737185235,0.6081016378494064,12,True,643665.3494341049
573-F,2,Barat,Poisson,1.0,1.5966326027770776,1.0,5.311632084041853,4.885465343749618,5.458333333333333,4.170071072970242,1,4.491661366614622,0.7312060206260078,20,False,1886497.7739781411
573-F,2,Barat,Binomial,0.5334040296924708,1.5966326027770776,0.9999999999999999,5.311632084041853,3.8030636544200767,5.458333333333333,4.170071072970242,2,3.587889363974202,0.7392950729032406,15,False,1506913.5328691648
573-F,2,Peralihan I,Poisson,1.0,2.205845125527978,1.0,7.338343035713154,5.74236704658931,6.96,4.188078318274385,3,4.780619887742101,0.702778581452662,24,False,2007860.3528516823
573-F,2,Peralihan I,Binomial,0.5628930817610063,2.205845125527978,1.0,7.338343035713154,4.712167611173745,6.96,4.188078318274385,4,3.8784376476047755,0.6862624821148389,20,False,1628943.8119940057
573-F,2,Timur,Poisson,1.0,5.820916388405379,0.9999999999999998,19.364859638592694,9.32822731865834,19.96,6.187891401761993,13,7.051115559475855,0.7130210681858039,45,False,2961468.5349798594
573-F,2,Timur,Binomial,0.3085585585585585,5.820916388405379,1.0000000000000004,19.364859638592705,6.3357005378856215,19.96,6.187891401761993,15,5.204261115635778,0.7164650089951405,35,False,2185789.668567027
573-F,2,Peralihan II,Poisson,1.0,0.51735649854278,1.0,1.7211269341285393,2.780983387622448,1.4,1.9790570145063193,0,1.7207757695694221,0.403905756978747,11,False,722725.8232191573
573-F,2,Peralihan II,Binomial,0.5833333333333335,0.51735649854278,1.0,1.7211269341285398,2.1843970973358577,1.4,1.9790570145063193,0,1.7211269341285398,0.51735649854278,7,False,722873.3123339867
573-F,3,Barat,Poisson,1.0,0.8944241258608975,0.9999999999999999,2.4652564969040984,3.0745641935390386,2.5,2.919201796799047,0,2.4645634140335435,0.5911570270435675,13,False,
573-F,3,Barat,Binomial,0.8458498023715416,0.8944241258608975,1.0000000000000004,2.4652564969041,2.90517298066817,2.5,2.919201796799047,0,2.465096222911315,0.6203696672949814,12,False,
573-F,3,Peralihan I,Poisson,1.0,1.3878683045288662,1.0,3.825312014357687,3.8298868316817747,3.68,2.8682166352398606,1,3.0719356095211174,0.6572924253349842,16,False,
573-F,3,Peralihan I,Binomial,0.48737373737373735,1.3878683045288662,1.0,3.8253120143576878,3.128955492560794,3.68,2.8682166352398606,1,2.9804927425541843,0.7371094631779012,13,False,
573-F,3,Timur,Poisson,1.0,3.877670294231214,0.9999999999999998,10.687828748474782,6.401728510500595,10.84,5.120872321522314,6,5.263001259659804,0.7161278147535931,29,False,
573-F,3,Timur,Binomial,0.8097643097643099,3.877670294231214,0.9999999999999978,10.687828748474757,5.93890930679364,10.84,5.120872321522314,6,5.19461056936586,0.7379458039053821,27,False,
573-F,3,Peralihan II,Poisson,1.0,0.2243997652259125,1.0,0.6185018529039212,1.5400081229433054,0.64,1.468559384794046,0,0.6184992646823543,0.20100434016424212,7,False,
573-F,3,Peralihan II,Binomial,0.8333333333333335,0.2243997652259125,0.9999999999999999,0.6185018529039212,1.4103476439111666,0.64,1.468559384794046,0,0.6185018529039212,0.22439976522591248,7,False,
