zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,1,85,93,0.0,2.5304,0.4810725679534607,0.40484784563148785,0.1605753745456695,0.03380110887533547,0.0653623188405797,0.8282828282828283,25.665,5569305.0
573-A,1,85,93,0.25,2.5304,0.5035870800735806,0.455695101803757,0.2544555790313525,0.10835639062728183,0.1348936170212766,0.6161616161616161,12.145,2635465.0
573-A,1,85,93,0.5,2.5304,0.43840381762046626,0.38711018924778323,0.23898894831713013,0.28133644350964165,0.3118181818181818,0.43434343434343436,8.643333333333334,1875603.3333333335
573-A,1,85,94,0.0,2.572,0.4443158494824509,0.3837243449356574,0.12337475251913377,0.03380110887533547,0.0653623188405797,0.8181818181818182,22.21666666666667,4821016.666666667
573-A,1,85,94,0.25,2.572,0.45686915427319996,0.40456244616171355,0.2150387104399989,0.1076471707691258,0.1348936170212766,0.6363636363636364,11.296666666666667,2451376.6666666665
573-A,1,85,94,0.5,2.572,0.41234923516417843,0.3575311405791346,0.22650870984899973,0.27970476193690635,0.3118181818181818,0.43434343434343436,7.635,1656795.0
573-A,1,85,95,0.0,2.616,0.3856966144864471,0.3294904162781443,0.15692595520226948,0.09562105258664401,0.11531620553359685,0.7474747474747475,18.361666666666668,3984481.666666667
573-A,1,85,95,0.25,2.616,0.38369761189504564,0.3334527223502389,0.2278458452764398,0.16708830093045043,0.20173913043478264,0.5959595959595959,9.561666666666667,2074881.6666666667
573-A,1,85,95,0.5,2.616,0.32870671492838366,0.2626195310037269,0.21827166011642685,0.29468738134812356,0.3333333333333333,0.43434343434343436,6.401666666666667,1389161.6666666667
573-A,1,85,96,0.0,2.6778,0.3547465391859495,0.30961251766820125,0.16603472858367074,0.10448780846082734,0.13333333333333333,0.696969696969697,14.911666666666667,3235831.666666667
573-A,1,85,96,0.25,2.6778,0.3553185534362689,0.3084858530556663,0.22848855678023705,0.14661244270756052,0.17777777777777778,0.5858585858585859,8.751666666666665,1899111.6666666663
573-A,1,85,96,0.5,2.6778,0.2864570646945772,0.22352306204177802,0.18990598539116954,0.38448509674353776,0.4231818181818182,0.37373737373737376,5.151666666666666,1117911.6666666665
573-A,1,85,97,0.0,2.7487,0.2793785772236003,0.22844319963770468,0.1149428577760706,0.24193275780793222,0.2727272727272727,0.5757575757575758,11.218333333333334,2434378.3333333335
573-A,1,85,97,0.25,2.7487,0.28487788339614073,0.23806508440674803,0.16423218137761908,0.25248158478232363,0.29614164904862583,0.5151515151515151,7.658333333333333,1661858.3333333333
573-A,1,85,97,0.5,2.7487,0.25082017219947045,0.19724481856704235,0.1566723104184028,0.3642697769962013,0.3917087967644085,0.3838383838383838,5.098333333333334,1106338.3333333335
573-A,2,90,70,0.0,2.0399,-0.06845879086654331,-0.19286243982146373,-0.3316144048707903,0.0,0.0,0.98989898989899,66.50999999999999,44495189.99999999
573-A,2,90,70,0.25,2.0399,-0.6161013251742719,-0.8331775011735904,-0.9603625448787079,0.15721909919308077,0.19608695652173916,0.6868686868686869,18.871666666666666,12625145.0
573-A,2,90,70,0.5,2.0399,-0.3771650116710998,-0.5238690733690763,-0.6131685733007519,0.4082358289323569,0.43675889328063244,0.47474747474747475,10.858333333333333,7264224.999999999
573-A,2,90,71,0.0,2.0541,-0.11099360462154648,-0.24354197801305105,-0.38526664436951363,0.0,0.0,0.98989898989899,65.33500000000001,43709115.00000001
573-A,2,90,71,0.25,2.0541,-0.49235195978770113,-0.7020123520820727,-0.7980424009938156,0.19186077232967705,0.21739130434782608,0.6868686868686869,18.813333333333333,12586120.0
573-A,2,90,71,0.5,2.0541,-0.25400523806640407,-0.3939400868663342,-0.484785606050264,0.4224472047505029,0.4773715415019763,0.45454545454545453,10.673333333333334,7140460.0
573-A,2,90,72,0.0,2.0696,-0.11775542257032043,-0.25769695572261525,-0.3849091504784785,0.0,0.0,0.98989898989899,64.72333333333333,43299910.0
573-A,2,90,72,0.25,2.0696,-0.43114229452896213,-0.6277051672620347,-0.7080384079832907,0.14280261808389452,0.16353290450272145,0.7171717171717171,20.628333333333334,13800355.0
573-A,2,90,72,0.5,2.0696,-0.13482469350767226,-0.27953323443367467,-0.3459918023835198,0.37723594963898266,0.43211462450592886,0.47474747474747475,10.585,7081365.000000001
573-A,2,90,73,0.0,2.0845,-0.10273724274777463,-0.2690240619904703,-0.3768173317133765,0.0,0.0,0.98989898989899,63.34,42374460.0
573-A,2,90,73,0.25,2.0845,-0.32687097436290674,-0.5220440200744846,-0.581679248631455,0.18044395417970888,0.20502114164904864,0.6767676767676768,19.09,12771210.0
573-A,2,90,73,0.5,2.0845,-0.0721612134815403,-0.22279463289988938,-0.2650542325449756,0.41342378822880754,0.45474308300395255,0.45454545454545453,9.671666666666667,6470345.0
573-A,2,90,74,0.0,2.0976,-0.06625178840657611,-0.21896859839917843,-0.35336095450015703,0.0,0.0,0.98989898989899,61.910000000000004,41417790.0
573-A,2,90,74,0.25,2.0976,-0.09904241301554907,-0.2854607081842043,-0.3744829563294334,0.12020760390831303,0.14925994449583718,0.7272727272727273,17.766666666666666,11885900.0
573-A,2,90,74,0.5,2.0976,0.05388465909232846,-0.07570021187167277,-0.12313848766382729,0.4112893334107477,0.45474308300395255,0.43434343434343436,9.066666666666666,6065600.0
573-A,2,90,75,0.0,2.1137,0.011519881996423302,-0.15794321849268672,-0.3013084788336309,0.0,0.0,0.98989898989899,60.57666666666667,40525790.0
573-A,2,90,75,0.25,2.1137,-0.025135450637072728,-0.2058688109635323,-0.2910324491829688,0.15045334656374332,0.17402173913043478,0.6868686868686869,15.993333333333332,10699540.0
573-A,2,90,75,0.5,2.1137,0.09862567657543453,-0.022254489383454857,-0.09378866523539875,0.35171763429451525,0.39308300395256923,0.4444444444444444,9.256666666666666,6192709.999999999
573-A,2,90,76,0.0,2.1311,0.004490163478497785,-0.16104834092065803,-0.3102799544045973,0.0,0.0,0.98989898989899,59.08166666666666,39525635.0
573-A,2,90,76,0.25,2.1311,0.09917470730056736,-0.07443255044979402,-0.14351021878421966,0.11732682494229857,0.13668076109936575,0.7070707070707071,17.703333333333333,11843530.0
