struktur,harga,lam,E_ret,modal_ret,E_ced,P_RI,loading_RI,multiple_RI,E_gov,p_sentuh_RI,p_sentuh_gov,margin_A ketat,bruto_A ketat,margin_B ramah,bruto_B ramah,d_bruto_pct_A ketat,d_bruto_pct_B ramah
S2 XoL agregat 3->200 thn,wang,0.2,252353086059.9667,133896821112.30582,33663799541.543854,44942604028.39896,11278804486.855103,1.335042527595144,0.0,0.33308,0.0,24668486598.085686,388356715249.49536,19312613753.593452,359211175711.88715,-5.773265522036752,-2.213007530379496
S2 XoL agregat 3->500 thn,wang,0.2,252204586912.1238,85703688658.41837,33812298689.386765,45208642038.37153,11396343348.984764,1.3370472813361822,0.0,0.33308,0.0,19966712214.8266,382479497270.4215,16538564668.489866,355947588552.9418,-7.199251056051603,-3.1014441785524705
S2 XoL agregat 3->inf thn,wang,0.2,252109958504.22757,85514437520.21677,33906927097.283,45393233492.903564,11486306395.620564,1.3387598753099916,0.0,0.33308,0.0,20037750147.642242,382568294686.44104,16617172646.833569,356040068527.46375,-7.177706197386735,-3.076268629506007
S2 XoL agregat 4->50 thn,wang,0.2,263960480042.56735,243315564135.56168,22056405558.943226,30089064189.196114,8032658630.252888,1.3641871114849844,0.0,0.24997,0.0,32364215043.809055,397976375806.6496,22631592478.38659,363115856564.58496,-3.4392536059436263,-1.1500478482862952
S2 XoL agregat 4->100 thn,wang,0.2,263311429806.00772,199235145322.38815,22705455795.50287,31146318146.386642,8440862350.883774,1.3717548076068837,0.0,0.24997,0.0,28364376883.12259,392976578105.79144,20394971070.227062,360484537260.86786,-4.652351234755403,-1.8663640943713866
S2 XoL agregat 4->200 thn,wang,0.2,263022375296.17972,159907165953.8705,22994510305.33089,31639649870.585846,8645139565.254955,1.3759653695800047,0.0,0.24997,0.0,24635856160.642006,388315927202.6908,18239569522.487186,357948770734.11505,-5.783161899014965,-2.5566682915191374
S2 XoL agregat 4->500 thn,wang,0.2,262873876148.3368,111808652445.53076,23143009453.1738,31905687880.55842,8762678427.384617,1.3786317611421497,0.0,0.24997,0.0,19943543671.937695,382450536591.81036,15471197574.116463,354691862559.5613,-7.206277766461488,-3.443286739589868
S2 XoL agregat 4->inf thn,wang,0.2,262779247740.44055,111524782361.78174,23237637861.07003,32090279335.090454,8852641474.020424,1.380961332083208,0.0,0.24997,0.0,20005119710.1986,382527506639.63654,15544128415.72733,354777663549.6918,-7.187602574364926,-3.419929390645615
S2 XoL agregat 5->50 thn,wang,0.2,269571078327.4012,262669455032.94992,16445807274.10941,22876031378.115196,6430224104.005787,1.390994737858133,0.0,0.2,0.0,32697169607.30078,398392569011.0142,22190391405.98278,362596796479.404,-3.338272922414043,-1.2913500350578588
S2 XoL agregat 5->100 thn,wang,0.2,268922028090.84155,218589036219.77643,17094857510.669052,23933285335.30572,6838427824.636669,1.4000283605972583,0.0,0.2,0.0,28697331446.614315,393392771310.1561,19953769997.823254,359965477175.6869,-4.551370551225798,-2.00766628114295
S2 XoL agregat 5->200 thn,wang,0.2,268632973581.01352,179261056851.25888,17383912020.49707,24426617059.504925,7042705039.007854,1.4051277428638573,0.0,0.2,0.0,24968810724.133743,388732120407.0554,17798368450.08339,357429710648.93414,-5.682181215485382,-2.697970478290679
