struktur,harga,lam,zona,tier,premi_murni,bruto_A ketat,bruto_B ramah
S2 XoL agregat 4->500 thn,wang,0.3,573-A,1,4144192.22,5668980.551889092,5250467.795166182
S2 XoL agregat 4->500 thn,wang,0.3,573-A,2,10829805.45,14809206.50281699,13718016.612233892
S2 XoL agregat 4->500 thn,wang,0.3,573-F,1,4321598.76,5496188.573053512,5192016.239982622
S2 XoL agregat 4->inf thn,wang,0.3,573-A,1,4144192.22,5671475.959880986,5253019.393150387
S2 XoL agregat 4->inf thn,wang,0.3,573-A,2,10829805.45,14815864.173597898,13724823.274864946
S2 XoL agregat 4->inf thn,wang,0.3,573-F,1,4321598.76,5497219.090577496,5193069.379813119
S2 XoL agregat 5->50 thn,wang,0.3,573-A,1,4144192.22,5897186.301646477,5353027.89928099
S2 XoL agregat 5->50 thn,wang,0.3,573-A,2,10829805.45,15434568.878628036,14002299.713539707
S2 XoL agregat 5->50 thn,wang,0.3,573-F,1,4321598.76,5426897.0644629905,5138278.074072958
S2 XoL agregat 5->100 thn,wang,0.3,573-A,1,4144192.22,5826387.643020289,5317919.688135464
S2 XoL agregat 5->100 thn,wang,0.3,573-A,2,10829805.45,15247934.632204544,13909721.72805667
S2 XoL agregat 5->100 thn,wang,0.3,573-F,1,4321598.76,5396324.089583245,5123283.327594904
S2 XoL agregat 5->200 thn,wang,0.3,573-A,1,4144192.22,5758263.712642479,5281929.127208884
S2 XoL agregat 5->200 thn,wang,0.3,573-A,2,10829805.45,15068414.377795376,13814878.009924192
S2 XoL agregat 5->200 thn,wang,0.3,573-F,1,4321598.76,5366553.582583836,5107570.211731476
S2 XoL agregat 5->500 thn,wang,0.3,573-A,1,4144192.22,5660475.866341425,5228157.9169369005
S2 XoL agregat 5->500 thn,wang,0.3,573-A,2,10829805.45,14787365.250853283,13660004.485057428
S2 XoL agregat 5->500 thn,wang,0.3,573-F,1,4321598.76,5472717.369658998,5168140.737045287
S2 XoL agregat 5->inf thn,wang,0.3,573-A,1,4144192.22,5662791.60512662,5230608.054663205
S2 XoL agregat 5->inf thn,wang,0.3,573-A,2,10829805.45,14793544.38528759,13666540.915398635
S2 XoL agregat 5->inf thn,wang,0.3,573-F,1,4321598.76,5473674.205354301,5169152.268313705
S2 XoL agregat 7->50 thn,wang,0.3,573-A,1,4144192.22,5895529.305322999,5330463.3231348535
S2 XoL agregat 7->50 thn,wang,0.3,573-A,2,10829805.45,15431927.773463033,13944343.609821932
S2 XoL agregat 7->50 thn,wang,0.3,573-F,1,4321598.76,5415558.008780327,5119182.699902672
S2 XoL agregat 7->100 thn,wang,0.3,573-A,1,4144192.22,5824730.64669681,5295355.111989327
S2 XoL agregat 7->100 thn,wang,0.3,573-A,2,10829805.45,15245293.527039543,13851765.624338897
