zona,tier,lat,lon,skenario,subsidi,premi_dibayar,rata_tanpa,rata_dengan,sd_tanpa,sd_dengan,p90_tanpa,p90_dengan,maks_tanpa,maks_dengan,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,-9.0,115.0,A ketat,0.8,1207154.3994999996,11627583.333333334,8874487.732833333,2545086.8938213973,1243555.4100927766,14539000.0,10407954.3995,14756000.0,11406154.3995,0.3405909797822706,0.5,26.48,7.24
573-A,1,-9.0,115.5,A ketat,0.8,1207154.3994999996,11690875.0,8937779.3995,2676359.8950894997,1301705.129653109,14756000.0,10690054.3995,15624000.0,11189154.3995,0.33874709976798145,0.4722222222222222,26.28,7.24
573-A,1,-9.0,117.0,A ketat,0.8,1207154.3994999996,11690875.0,8937779.3995,2617576.248837512,1172625.252881607,14842800.0,10342854.3995,16709000.0,11623154.399500001,0.33874709976798145,0.37662337662337664,25.76,7.24
573-A,1,-9.0,117.5,A ketat,0.8,1207154.3994999996,11736083.333333334,8982987.732833333,2588161.676232542,1144088.156631703,15081500.0,10711754.3995,16492000.0,11406154.399500001,0.337442218798151,0.3815789473684211,27.04,7.24
573-A,1,-9.0,118.0,A ketat,0.8,1207154.3994999996,11528125.0,8775029.3995,2550226.713067581,1166498.4135921677,14495600.0,10060754.3995,16275000.0,11840154.3995,0.34352941176470586,0.38666666666666666,26.64,7.24
573-A,1,-9.0,118.5,A ketat,0.8,1207154.3994999996,11410583.333333334,8657487.732833333,2709510.6716361432,1340226.2841601127,14473900.0,10039054.3995,15841000.0,12274154.3995,0.3470681458003169,0.4657534246575342,25.6,7.24
573-A,1,-9.0,119.0,A ketat,0.8,1207154.3994999996,11510041.666666666,8756946.066166667,3034951.8222544813,1921803.884922041,14907900.0,11124054.3995,17360000.0,13576154.3995,0.3440691280439906,0.425,25.24,7.24
573-A,1,-7.0,106.0,B ramah,0.0,5358644.055058824,11012750.0,12411144.055058822,2286012.9759226996,1631426.4230767635,13258700.0,14190544.055058824,15841000.0,16208644.055058822,0.35960591133004927,0.3150684931506849,28.4,7.24
573-A,1,-7.5,106.0,B ramah,0.0,5358644.055058824,11202625.0,12601019.055058822,2219268.148316114,1678208.227026929,13974800.0,14342444.055058822,15624000.0,15991644.055058822,0.35351089588377727,0.3194444444444444,29.0,7.24
573-A,1,-7.5,106.5,B ramah,0.0,5358644.055058824,11256875.0,12655269.055058822,2403081.4513779017,1577595.3857332862,14278600.0,14255644.055058822,15841000.0,16208644.055058822,0.35180722891566263,0.3150684931506849,27.88,7.24
573-A,1,-7.5,107.0,B ramah,0.0,5358644.055058824,11401541.666666666,12799935.721725488,2229545.9662405956,1012736.8635090482,14039900.0,13756544.055058822,14973000.0,15340644.055058822,0.34734337827121337,0.3333333333333333,27.64,7.24
573-A,1,-7.5,107.5,B ramah,0.0,5358644.055058824,11528125.0,12926519.055058822,2565434.7595358533,1183919.5519268955,14256900.0,14624544.055058822,15841000.0,15123644.055058822,0.34352941176470586,0.3835616438356164,27.28,7.24
573-A,1,-8.0,107.5,B ramah,0.0,5358644.055058824,11392500.0,12790894.055058822,2094139.2130128935,1299245.2742298874,13454000.0,14429244.055058822,15190000.0,15557644.055058822,0.3476190476190476,0.38571428571428573,27.56,7.24
573-A,1,-8.0,108.0,B ramah,0.0,5358644.055058824,11329208.333333334,12727602.388392156,2199033.9376776274,1092482.7121969825,13974800.0,14125444.055058822,14756000.0,15340644.055058822,0.349561053471668,0.39705882352941174,25.8,7.24
573-A,1,-8.0,108.5,B ramah,0.0,5358644.055058824,11419625.0,12818019.055058822,2220190.4895262048,867557.6318407999,14039900.0,14038644.055058822,14756000.0,14255644.055058824,0.34679334916864607,0.4117647058823529,27.12,7.24
573-A,1,-8.0,109.0,B ramah,0.0,5358644.055058824,11528125.0,12926519.055058822,2277095.581666145,943307.2399346053,14105000.0,14190544.055058822,14973000.0,14689644.055058824,0.34352941176470586,0.4057971014492754,27.28,7.24
573-A,1,-8.0,109.5,B ramah,0.0,5358644.055058824,11627583.333333334,13025977.388392156,2458338.7801462626,1021167.2207594713,14973000.0,14255644.055058822,15190000.0,15557644.055058822,0.3405909797822706,0.32857142857142857,27.12,7.24
573-A,1,-8.5,109.5,B ramah,0.0,5358644.055058824,11320166.666666666,12718560.721725488,1920405.135396688,1142745.2421278316,13605900.0,13908444.055058822,13888000.0,15123644.055058822,0.3498402555910543,0.4375,26.8,7.24
